,col
736,"Normal, Dry, Combination, Oily "
737,"Normal, Combination"
738,Sensitive
739,"Normal, Dry, Combination, Oily"
740,"Normal, Combination, Oily"
741,"Normal, Dry, Combination, Oily"
742,"Normal, Dry, Combination, Oily"
743,"Normal, Dry, Combination, Oily"
744,"Normal, Combination, Oily"
745,"Normal, Dry, Combination, Oily"
746,"Normal, Dry, Combination, Oily"
747,"Normal, Dry, Combination "
748,"Normal, Dry, Combination, Oily"
749,"Normal, Dry, Combination, Oily"
750,"Normal, Dry, Combination, Oily"
751,"Normal, Dry, Combination, Oily "
752,"Normal, Dry, Combination, Oily"
753,Dry
754,Dry
755,"Normal, Dry, Combination, Oily"
756,"Normal, Dry, Combination, Oily"
757,"Normal, Dry"
758,"Normal, Dry"
759,"Normal, Dry, Combination, Oily"
760,"Normal, Dry"
761,"Normal, Dry, Combination, Oily"
762,"Normal, Dry"
763,"Normal, Dry, Combination, Oily"
764,"Normal, Dry, Combination, Oily "
765,"Normal, Dry, Combination, Oily "
766,Dry
767,"Normal, Dry"
768,"Normal, Dry"
769,"Normal, Dry, Combination, Oily "
770,"Normal, Dry, Combination, Oily "
771,"Normal, Dry, Combination, Oily "
772,"Normal, Dry, Combination, Oily "
773,"Normal, Dry, Combination, Oily "
774,"Normal, Dry, Combination, Oily "
775,"Normal, Dry, Combination, Oily "
776,"Normal, Dry"
777,"Normal, Dry, Combination, Oily "
778,"Normal, Dry, Combination, Oily "
779,"Normal, Dry, Combination, Oily "
780,"Normal, Dry, Combination, Oily "
781,"Normal, Dry, Combination, Oily"
782,"Normal, Dry, Combination, Oily "
783,"Normal, Dry, Combination, Oily "
784,"Normal, Dry, Combination, Oily "
785,"Normal, Dry, Combination, Oily "
786,"Normal, Dry, Combination, Oily "
787,"Normal, Dry, Combination, Oily "
788,"Normal, Dry, Combination, Oily "
789,"Normal, Combination, Oily"
790,"Normal, Dry, Combination"
791,"Normal, Combination, Oily "
792,"Normal, Dry, Combination"
793,"Normal, Combination, Oily"
794,"Normal, Dry, Combination"
795,"Normal, Dry, Combination, Oily "
796,"Normal, Dry, Combination, Oily "
797,"Normal, Dry, Combination, Oily "
798,"Normal, Combination, Oily"
799,"Normal, Combination, Oily"
800,"Normal, Dry, Combination, Oily "
801,"Normal, Dry, Combination, Oily "
802,"Normal, Dry, Combination, Oily "
803,"Normal, Dry, Combination"
804,"Normal, Dry, Combination "
805,"Normal, Dry, Combination "
806,"Normal, Dry, Combination"
807,Normal 
808,"Normal, Dry, Combination "
809,Normal 
810,Dry 
811,"Normal, Dry "
812,"Normal, Dry "
813,Sensitive
814,"Normal, Combination, Oily"
815,"Normal, Dry, Combination"
816,"Normal, Dry, Combination, Oily"
